N1108,DE,ALTERADO,PON,obs,PORTAS OCUPADAS,PORTAS TOTAL,ESTADO,MUNICIPIO,LOCALIDADE,TIPOLOCAL,LONGITUDE,LATITUDE,NOMECOMPLETO,STATUS,SISTEMADELOCAIS,DATADECRIACAO,DATADEATIVACAO,DATAPRIMEIROCLIENTE,DATASUBSTITUICAO,FINALIDADE,PROPRIEDADE,NUMEROLOTE,LOCALREFERENCIA,LOGRADOUROCCE,IDLOGRADOUROCCE,BAIRROCCE,IDBAIRROCCE,LOCALIDADECCE,MUNICIPIOCCE,ESTADOCCE,CEPCCE,CODLOGRADOUROGIS,LOGRADOUROGIS,FIDGTECH,NOMEGTECH,DESIGNACAODOFORNECEDOR,COMPRIMENTOMAXDROP,LOCALIDADECTO,STATUSCERTIFICACAO,PATRIMONIO,LOCALDEINSTALACAO
D3806,CTO-CMP-00571,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,185325","-22,635456",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00571,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,338,,RUA HENRIQUE ROGGE,395377,REAL CENTER,12725,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D3811,CTO-CMP-00572,,,ok,0,16,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,186314","-22,634664",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00572,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,166,,RUA JOAO RACHED,395628,REAL CENTER,12725,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D3817,CTO-CMP-00573,,,ok,0,16,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,187819","-22,633449",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00573,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,1,,RUA 4,396901,RESIDENCIAL CIDADE JARDIM,12730,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D3845,CTO-CMP-00574,,,ok,0,16,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,191954","-22,62766",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00574,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,372,,RUA WALDEMAR MADSEN,396669,PARQUE DONA ESTHER,12711,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D3851,CTO-CMP-00575,,,ok,0,16,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,190537","-22,628813",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00575,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,128,,RUA WALDEMAR MADSEN,396669,PARQUE DONA ESTHER,12711,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D3861,CTO-CMP-00576,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,188021","-22,630728",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00576,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,182,,RUA ARMANDO FERNANDES,394580,JARDIM ELDORADO,12698,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D3940,CTO-CMP-00577,,,Trocar Portas 1x16,1,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,182287","-22,634166",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00577,EXISTENTE,Algar Telecom,"44699,63058",,44973,,,FRANQUEADO,296,,RUA ALDA MORA DIAS DE ARRUDA,394310,REAL CENTER,12725,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D3945,CTO-CMP-00578,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,18336","-22,635313",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00578,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,148,,RUA ALDA MORA DIAS DE ARRUDA,394310,REAL CENTER,12725,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D3949,CTO-CMP-00579,,,Trocar Portas 1x16,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,184123","-22,63614",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00579,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,30,,RUA ALDA MORA DIAS DE ARRUDA,394310,REAL CENTER,12725,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D3950,CTO-CMP-00580,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,185157","-22,635288",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00580,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,16,,RUA JOSE DO NASCIMENTO DOMINGUES,395644,JARDIM COSMOPOLITANO,12693,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D3954,CTO-CMP-00581,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,184345","-22,634427",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00581,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,140,,RUA JOSE DO NASCIMENTO DOMINGUES,395644,JARDIM COSMOPOLITANO,12693,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D3958,CTO-CMP-00582,,,Trocar Portas 1x16,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,183549","-22,633534",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00582,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,270,,RUA JOSE DO NASCIMENTO DOMINGUES,395644,JARDIM COSMOPOLITANO,12693,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D3964,CTO-CMP-00583,,,Trocar Portas 1x16,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,183893","-22,632875",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00583,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,572,,RUA LOURENCO TREVENZOLLI,395900,JARDIM COSMOPOLITANO,12693,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D3969,CTO-CMP-00584,,,Trocar Portas 1x16,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,184945","-22,634017",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00584,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,238,,RUA GUSTAVO EPPRECHT,395376,REAL CENTER,12725,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D3972,CTO-CMP-00585,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,185641","-22,634773",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00585,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,308,,RUA LOURENCO TREVENZOLLI,395900,JARDIM COSMOPOLITANO,12693,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D3993,CTO-CMP-00586,,,ok,0,16,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,184747","-22,632659",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00586,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,368,,RUA PEDRO DAMIANO,396400,CONJUNTO HABITACIONAL VILA COSMOS,12681,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D3995,CTO-CMP-00587,,,Trocar Portas 1x16,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,184475","-22,632358",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00587,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,150,,RUA PEDRO DAMIANO,396400,CONJUNTO HABITACIONAL VILA COSMOS,12681,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D4023,CTO-CMP-00588,,,ok,1,16,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,188543","-22,632656",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00588,EXISTENTE,Algar Telecom,"44699,63058",,44972,,,FRANQUEADO,130,,RUA EWALD SILLAS EPRECHT,395111,JARDIM ELDORADO,12698,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D4029,CTO-CMP-00589,,,ok,0,16,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,189163","-22,632533",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00589,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,760,,RUA 5,396902,RESIDENCIAL CIDADE JARDIM,12730,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D4031,CTO-CMP-00590,,,ok,1,16,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,188763","-22,632096",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00590,EXISTENTE,Algar Telecom,"44699,63058",,44973,,,FRANQUEADO,153,,RUA ANGELO BERTAGLIA,394550,JARDIM ELDORADO,12698,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D4034,CTO-CMP-00591,D4034,,ok,0,16,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,187511","-22,631575",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00591,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,284,,RUA EWALD SILLAS EPRECHT,395111,JARDIM ELDORADO,12698,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D4019,CTO-CMP-00592,D4019,,ok,0,16,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,187996","-22,631291",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00592,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,283,,RUA ANGELO BERTAGLIA,394550,JARDIM ELDORADO,12698,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D4043,CTO-CMP-00593,,,ok,0,16,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,187279","-22,629765",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00593,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,420,,RUA ERNESTO KOWALESKI,395105,JACINTO HACKEL FREN AUN,12685,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D4045,CTO-CMP-00594,,,ok,0,16,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,18792","-22,63046",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00594,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,340,,RUA ERNESTO KOWALESKI,395105,JACINTO HACKEL FREN AUN,12685,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D4049,CTO-CMP-00595,,,ok,0,16,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,188998","-22,631641",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00595,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,197,,RUA ERNESTO KOWALESKI,395105,JACINTO HACKEL FREN AUN,12685,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D4050,CTO-CMP-00596,,,ok,0,16,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,189177","-22,631835",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00596,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,150,,RUA ERNESTO KOWALESKI,395105,JACINTO HACKEL FREN AUN,12685,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D4052,CTO-CMP-00597,,,ok,0,16,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,189522","-22,632207",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00597,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,92,,RUA ERNESTO KOWALESKI,395105,JACINTO HACKEL FREN AUN,12685,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D4059,CTO-CMP-00598,,,ok,0,16,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,190047","-22,631838",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00598,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,60,,RUA JOAQUIM TOLEDO DA SILVA,395634,JACINTO HACKEL FREN AUN,12685,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D4062,CTO-CMP-00599,,,ok,0,16,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,189139","-22,630866",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00599,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,160,,RUA JOAQUIM TOLEDO DA SILVA,395634,JACINTO HACKEL FREN AUN,12685,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D4066,CTO-CMP-00600,,,ok,0,16,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,188259","-22,629939",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00600,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,314,,RUA JOAQUIM TOLEDO DA SILVA,395634,JACINTO HACKEL FREN AUN,12685,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D4077,CTO-CMP-00601,,,ok,0,16,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,188434","-22,629043",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00601,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,280,,RUA ANGELO CAPRARO,394552,JACINTO HACKEL FREN AUN,12685,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D4079,CTO-CMP-00602,,,ok,0,16,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,188903","-22,629552",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00602,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,320,,RUA LADISLAU TALLO,395893,JACINTO HACKEL FREN AUN,12685,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D4083,CTO-CMP-00603,,,ok,0,16,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,189716","-22,63042",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00603,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,197,,RUA LADISLAU TALLO,395893,JACINTO HACKEL FREN AUN,12685,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D4086,CTO-CMP-00604,,,ok,0,16,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,190593","-22,631381",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00604,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,67,,RUA LADISLAU TALLO,395893,JACINTO HACKEL FREN AUN,12685,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D4087,CTO-CMP-00605,,,ok,0,16,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,190821","-22,631616",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00605,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,43,,RUA LADISLAU TALLO,395893,JACINTO HACKEL FREN AUN,12685,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D4091,CTO-CMP-00606,,,Trocar Portas 1x16,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,191179","-22,631108",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00606,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,84,,RUA ALADINO SELMI,394299,PARQUE DONA ESTHER,12711,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D4095,CTO-CMP-00607,,,ok,0,16,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,190055","-22,629913",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00607,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,258,,RUA ALADINO SELMI,394299,PARQUE DONA ESTHER,12711,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D4102,CTO-CMP-00608,,,ok,1,16,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,188276","-22,627979",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00608,EXISTENTE,Algar Telecom,"44699,63058",,2/20/2023,,,FRANQUEADO,506,,RUA ALADINO SELMI,394299,PARQUE DONA ESTHER,12711,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D4123,CTO-CMP-00609,,,ok,0,16,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,189873","-22,628838",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00609,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,350,,RUA PONCIANO TONUSSI,396409,PARQUE DONA ESTHER,12711,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D4137,CTO-CMP-00610,,,ok,0,16,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,192459","-22,630729",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00610,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,20,,RUA PAULO LEIVAS MACALAO,396396,PARQUE DONA ESTHER,12711,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D4140,CTO-CMP-00611,,,ok,0,16,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,191773","-22,629979",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00611,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,166,,RUA PAULO LEIVAS MACALAO,396396,PARQUE DONA ESTHER,12711,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D4143,CTO-CMP-00612,,,ok,0,16,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,191004","-22,629161",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00612,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,304,,RUA PAULO LEIVAS MACALAO,396396,PARQUE DONA ESTHER,12711,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D4119,CTO-CMP-00613,,,ok,0,16,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,188565","-22,627413",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00613,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,597,,RUA PAULO LEIVAS MACALAO,396396,PARQUE DONA ESTHER,12711,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
NAO EXISTE,CTO-CMP-00614,NAO EXISTE,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
D4160,CTO-CMP-00615,,,Não existe na Rua,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,187022","-22,626869",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00615,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,58,,AVENIDA GUILHERMINA KOWALESKI,395374,PARQUE DONA ESTHER,12711,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D4166,CTO-CMP-00616,,,Trocar Portas 1x16,0,16,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,187319","-22,625175",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00616,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,240,,AVENIDA GUILHERMINA KOWALESKI,395374,PARQUE DONA ESTHER,12711,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D4170,CTO-CMP-00617,,,Trocar Portas 1x16,1,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,18819","-22,624381",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00617,EXISTENTE,Algar Telecom,"44699,63058",,2/20/2023,,,FRANQUEADO,356,,AVENIDA GUILHERMINA KOWALESKI,395374,PARQUE DONA ESTHER,12711,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D4189,CTO-CMP-00618,,,Trocar Portas 1x16,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,188126","-22,624212",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00618,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,23,,RUA MAJOR FAUSTO SUZZARA,395113,PARQUE DONA ESTHER,12711,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D4191,CTO-CMP-00619,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,187393","-22,623401",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00619,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,147,,RUA MAJOR FAUSTO SUZZARA,395113,PARQUE DONA ESTHER,12711,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D4193,CTO-CMP-00620,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,187142","-22,623134",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00620,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,194,,RUA MAJOR FAUSTO SUZZARA,395113,PARQUE DONA ESTHER,12711,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D4241,CTO-CMP-00621,,,ok,0,16,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,201972","-22,629871",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00621,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,25,,RUA PEDRO SUZAN,396407,PARQUE RESIDENCIAL DAS ANDORINHAS,12716,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D4242,CTO-CMP-00622,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,168143","-22,628389",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00622,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,75,,RUA CARLOS LEOPOLDO BOTTCHER,394848,PARQUE DAS LARANJEIRAS II,12710,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D4249,CTO-CMP-00623,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,202103","-22,631357",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00623,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,683,,AVENIDA NELSON ALVES ARANHA,396146,PARQUE RESIDENCIAL DAS ANDORINHAS,12716,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D4289,CTO-CMP-00624,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,201919","-22,631248",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00624,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,666,,AVENIDA NELSON ALVES ARANHA,396146,PARQUE RESIDENCIAL DAS ANDORINHAS,12716,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D4296,CTO-CMP-00625,,,ok,0,16,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,202528","-22,629454",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00625,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,916,,RUA JOSE ZACHARIAS,395889,PARQUE RESIDENCIAL DAS ANDORINHAS,12716,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D4300,CTO-CMP-00626,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,168809","-22,628893",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00626,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,16,,RUA OSMAR DIAS DE ARRUDA,396161,PARQUE DAS LARANJEIRAS II,12710,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D4303,CTO-CMP-00627,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,169367","-22,629582",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00627,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,26,,RUA JOSE NALLIN SOBRINHO,395884,PARQUE DAS LARANJEIRAS II,12710,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D4324,CTO-CMP-00628,,,ok,0,16,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,197766","-22,634072",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00628,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,102,,RUA PRIMO OLIVIO DE FAVERI,396412,JARDIM LOURDES,12699,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
