N1108,DE,ALTERADO,PON,obs,PORTAS OCUPADAS,PORTAS TOTAL,ESTADO,MUNICIPIO,LOCALIDADE,TIPOLOCAL,LONGITUDE,LATITUDE,NOMECOMPLETO,STATUS,SISTEMADELOCAIS,DATADECRIACAO,DATADEATIVACAO,DATAPRIMEIROCLIENTE,DATASUBSTITUICAO,FINALIDADE,PROPRIEDADE,NUMEROLOTE,LOCALREFERENCIA,LOGRADOUROCCE,IDLOGRADOUROCCE,BAIRROCCE,IDBAIRROCCE,LOCALIDADECCE,MUNICIPIOCCE,ESTADOCCE,CEPCCE,CODLOGRADOUROGIS,LOGRADOUROGIS,FIDGTECH,NOMEGTECH,DESIGNACAODOFORNECEDOR,COMPRIMENTOMAXDROP,LOCALIDADECTO,STATUSCERTIFICACAO,PATRIMONIO,LOCALDEINSTALACAO
D0081,CTO-CMP-00026,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,173779","-22,638081",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00026,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,1880,,RUA SANTO RIZZO,396427,VILA JOSE KALIL AUN,12741,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D0083,CTO-CMP-00027,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,188491","-22,650197",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00027,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,36,,RUA CAETANO ACHILES AVANCINI,394841,JARDIM BELA VISTA CONTINUACAO,12688,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D0183 ,CTO-CMP-00028,D0083,,ok,6,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,173513","-22,637793",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00028,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,1931,,RUA SANTO RIZZO,396427,VILA JOSE KALIL AUN,12741,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D0084,CTO-CMP-00029,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,173275","-22,637537",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00029,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,347,,RUA SANTO RIZZO,396427,VILA JOSE KALIL AUN,12741,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D0092,CTO-CMP-00030,,,ok,0,16,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,171411","-22,635368",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00030,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,2225,,RUA SANTO RIZZO,396427,VILA JOSE KALIL AUN,12741,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D0095,CTO-CMP-00031,,,ok,0,16,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,170656","-22,634572",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00031,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,2285,,RUA SANTO RIZZO,396427,VILA JOSE KALIL AUN,12741,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D0103,CTO-CMP-00032,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,187041","-22,651726",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00032,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,76,,RUA SALIM BARACAT,396426,BELA VISTA IV,12675,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D0107,CTO-CMP-00033,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,187738","-22,651445",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00033,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,13,,RUA DOUTOR LUIZ NICOLAU NOLANDI,395910,JARDIM BELA VISTA CONTINUACAO,12688,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D0110,CTO-CMP-00034,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,187316","-22,65061",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00034,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,37,,RUA DOUTOR LUIZ NICOLAU NOLANDI,395910,JARDIM BELA VISTA CONTINUACAO,12688,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D0113,CTO-CMP-00035,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,186815","-22,649844",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00035,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,301,,RUA DOUTOR LUIZ NICOLAU NOLANDI,395910,JARDIM BELA VISTA CONTINUACAO,12688,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
